key,path,line,usage
network.vpn.subnet.ip,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/unix/EblockerDnsServer.java,116,injection
network.vpn.subnet.netmask,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/unix/EblockerDnsServer.java,117,injection
network.unix.firewall.config.full.path,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/unix/FirewallConfigurationIp4.java,49,injection
network.unix.firewall.config.delta.path,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/unix/FirewallConfigurationIp4.java,50,injection
network.unix.firewall.ip6.config.full.path,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/unix/FirewallConfigurationIp6.java,43,injection
network.unix.firewall.ip6.config.delta.path,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/unix/FirewallConfigurationIp6.java,44,injection
network.unix.ipset.checkSupport.command,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/unix/IpSets.java,48,injection
network.unix.ipset.restore.command,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/unix/IpSets.java,49,injection
network.unix.dhcpd.config.path,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/unix/IscDhcpServer.java,44,injection
network.unix.dhcpd.apply.config.command,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/unix/IscDhcpServer.java,45,injection
network.unix.dhcpd.enable.command,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/unix/IscDhcpServer.java,46,injection
network.unix.dhcpd.disable.command,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/unix/IscDhcpServer.java,47,injection
network.interface.name,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/unix/NetworkInterfaceAliases.java,58,injection
network.alias.min,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/unix/NetworkInterfaceAliases.java,59,injection
network.alias.max,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/unix/NetworkInterfaceAliases.java,60,injection
network.alias.script.add,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/unix/NetworkInterfaceAliases.java,61,injection
network.alias.script.remove,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/unix/NetworkInterfaceAliases.java,62,injection
network.unix.interfaces.config.path,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/unix/NetworkInterfaceConfiguration.java,40,injection
network.interface.name,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/unix/NetworkInterfaceConfiguration.java,41,injection
network.emergency.ip,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/unix/NetworkInterfaceConfiguration.java,42,injection
network.emergency.netmask,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/unix/NetworkInterfaceConfiguration.java,43,injection
highPrioScheduledExecutor,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/unix/NetworkServicesUnix.java,72,injection
executor.arpSpoofer.startupDelay,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/unix/NetworkServicesUnix.java,77,injection
executor.arpSpoofer.fixedDelay,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/unix/NetworkServicesUnix.java,78,injection
network.unix.apply.configuration.command,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/unix/NetworkServicesUnix.java,79,injection
network.unix.apply.firewall.configuration.command,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/unix/NetworkServicesUnix.java,80,injection
network.unix.enable.ip6,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/unix/NetworkServicesUnix.java,81,injection
network.interface.name,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/unix/firewall/TableGeneratorIp4.java,50,injection
network.vpn.interface.name,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/unix/firewall/TableGeneratorIp4.java,51,injection
network.vpn.subnet.ip,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/unix/firewall/TableGeneratorIp4.java,52,injection
network.vpn.subnet.netmask,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/unix/firewall/TableGeneratorIp4.java,53,injection
proxyPort,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/unix/firewall/TableGeneratorIp4.java,54,injection
proxyHTTPSPort,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/unix/firewall/TableGeneratorIp4.java,55,injection
squid.uid,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/unix/firewall/TableGeneratorIp4.java,56,injection
httpPort,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/unix/firewall/TableGeneratorIp4.java,57,injection
httpsPort,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/unix/firewall/TableGeneratorIp4.java,58,injection
parentalControl.redirect.ip,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/unix/firewall/TableGeneratorIp4.java,59,injection
parentalControl.redirect.http.port,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/unix/firewall/TableGeneratorIp4.java,60,injection
parentalControl.redirect.https.port,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/unix/firewall/TableGeneratorIp4.java,61,injection
network.control.bar.host.fallback.ip,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/unix/firewall/TableGeneratorIp4.java,62,injection
malware.filter.ipset.name,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/unix/firewall/TableGeneratorIp4.java,63,injection
openvpn.server.port,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/unix/firewall/TableGeneratorIp4.java,64,injection
dns.server.port,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/unix/firewall/TableGeneratorIp4.java,65,injection
tor.port,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/unix/firewall/TableGeneratorIp4.java,66,injection
tor.dns.port,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/unix/firewall/TableGeneratorIp4.java,67,injection
tor.mark,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/unix/firewall/TableGeneratorIp4.java,68,injection
network.interface.name,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/unix/firewall/TableGeneratorIp6.java,41,injection
network.vpn.interface.name,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/unix/firewall/TableGeneratorIp6.java,42,injection
httpPort,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/unix/firewall/TableGeneratorIp6.java,43,injection
httpsPort,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/unix/firewall/TableGeneratorIp6.java,44,injection
proxyPort,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/unix/firewall/TableGeneratorIp6.java,45,injection
proxyHTTPSPort,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/unix/firewall/TableGeneratorIp6.java,46,injection
dns.server.port,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/unix/firewall/TableGeneratorIp6.java,47,injection
malware.filter.ip6set.name,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/unix/firewall/TableGeneratorIp6.java,48,injection
